best_trial_id,best_value,param_name,param_value
257,0.6719144763946533,alpha,0.15812022593021458
257,0.6719144763946533,beta,0.715853601330474
257,0.6719144763946533,max_depth,4
257,0.6719144763946533,use_gating_mlp,0
257,0.6719144763946533,hidden_dim_expert,32
257,0.6719144763946533,initial_temp,1.5
257,0.6719144763946533,final_temp,0.2
257,0.6719144763946533,anneal_epochs,10
257,0.6719144763946533,schedule_type,linear
257,0.6719144763946533,learning_rate,0.0001
257,0.6719144763946533,lradj,type2
